moeCode,schoolName,campusName,campusAddress,province,city,district,lat,lng,undergraduateScope,freshmanOnly,mainCampusType,nearestMetroStation,metroDistanceKm,sourceTitle,sourceUrl,sourceDate,confidence,notes
4121013203,大连工业大学艺术与信息工程学院,主校区,辽宁省大连庄河市学府大街117号,遼寧,大连,,39.633746,122.92196,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4121013207,大连科技学院,主校区,辽宁省大连市旅顺经济开发区滨港路999-26号,辽宁,大连,旅顺口区,38.783067,121.154147,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 0.88 km。
4121013208,沈阳城市建设学院,主校区,辽宁省沈阳市浑南区全运五路501号,辽宁,沈阳,浑南区,41.673818,123.411793,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.39 km。
4121013212,大连医科大学中山学院,主校区,辽宁省大连市高新区爱贤街28号,辽宁,大连,甘井子区,38.852925,121.50773,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.25 km。
4121013213,锦州医科大学医疗学院,主校区,辽宁省锦州市高新技术产业园区昆明街2A号,辽宁,锦州,太和区,41.081326,121.109188,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.35 km。
4121013215,辽宁师范大学海华学院,主校区,辽宁省大连市庄河前程大街117号,遼寧,大连,,41.681081,123.404815,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4121013217,辽宁理工学院,主校区,辽宁省锦州市高新技术产业园区昆明街2号,辽宁,锦州,太和区,41.080075,121.113309,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.63 km。
4121013218,大连财经学院,主校区,辽宁省大连市金州新区人文街80号,辽宁,大连,金州区,39.085233,121.82684,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.25 km。
4121013220,沈阳城市学院,主校区,辽宁省沈阳市苏家屯区梧桐大街2号,辽宁,沈阳,苏家屯区,41.623126,123.53077,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.34 km。
4121013599,大连艺术学院,主校区,辽宁省大连市开发区同汇路19号,辽宁,大连,金州区,39.09769,121.82915,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 5.48 km。
