schoolName,disciplinesRaw,doubleFirstClassRound,sourceTitle,sourceUrl,sourceDate,notes
南京邮电大学,电子科学与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
河海大学,水利工程、环境科学与工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
江南大学,轻工技术与工程、食品科学与工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京林业大学,林业工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京信息工程大学,大气科学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京农业大学,作物学、农业资源与环境,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京医科大学,公共卫生与预防医学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京中医药大学,中药学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国药科大学,中药学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南京师范大学,地理学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
